imputer,model,MAE,RMSE,R2
iterative,ridge,0.20552027271849516,0.32261585892421085,0.950709045386217
knn3,ridge,0.20580222479916663,0.3219626045868984,0.9509063321411442
median,ridge,0.22282779302698066,0.34239249239762465,0.9444763573582264
mean,ridge,0.22311537708329365,0.3426239154083961,0.9444012157270081
mean,rf,0.23433898010598558,0.37995531514266645,0.9316118436969831
median,rf,0.23442033706889065,0.3809421333738005,0.9312483151775623
iterative,rf,0.23491872991052037,0.37297473661969893,0.934119097727237
knn3,rf,0.2391029884458344,0.3905623390541001,0.9277424013134551
iterative,gbr,0.252833577986481,0.3764109516151661,0.9329017815740341
knn3,gbr,0.25360930818703964,0.38085190435806215,0.9312965172801335
median,gbr,0.25482985776889,0.37616907777842135,0.9329635206751619
mean,gbr,0.255846527448956,0.3782304904924804,0.9322380548412363
